exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Yoga plex,Stretching,Lower Back,Intermediate,,,,,,,,,,,
TBS Back Extension,Strength,Lower Back,Intermediate,,,,,,,,,,,
Lower Back Stretch - Yates Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
Hyperextension - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
Back Extension - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Banana Stretch,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM T-Spine Stretch on Wall,Stretching,Lower Back,Intermediate,,,,,,,,,,,
HM Child's Pose,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Cobra,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Cobra With Arm Retraction,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Dive-Bomber,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Downward-Facing Dog Pose,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Downward Dog To Left Leg Extension To Warrior Pose,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Downward Dog To Right Leg Extension To Warrior Pose,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Spine Twist,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Good Morning,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Rag Doll,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Upward-Facing Dog Pose,Strength,Lower Back,Intermediate,,,,,,,,,,,
Superman-,Strength,Lower Back,Intermediate,,,,,,,,,,,
Weighted back extension,Strength,Lower Back,Intermediate,,,,,,,,,,,
MetaBurn Alternating Superman,Strength,Lower Back,Intermediate,,,,,,,,,,,
MetaBurn Swimmer,Strength,Lower Back,Intermediate,,,,,,,,,,,
Dancer's Stretch,Stretching,Lower Back,Beginner,,,,,,,,,,,
Cat Stretch,Stretching,Lower Back,Beginner,,,,,,,,,,,
Crossover Reverse Lunge,Stretching,Lower Back,Beginner,,,,,,,,,,,
Standing Pelvic Tilt,Stretching,Lower Back,Beginner,,,,,,,,,,,
Exercise ball weighted hyperextension,Strength,Lower Back,Beginner,,,,,,,,,,,
Exercise ball rear delt fly,Strength,Lower Back,Intermediate,,,,,,,,,,,
Lying rear delt Y,Strength,Lower Back,Intermediate,,,,,,,,,,,
Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Beginner,,,,,,,,,,,
Partner side plank band row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Band-assisted chin-up,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Band-Assisted Pull-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Reverse-Grip Band-Assisted Pull-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
Band bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Heavy band bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Reverse-grip bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
One-Arm Long Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Bent Over Barbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Yates Row Reverse Grip,Strength,Middle Back,Beginner,,,,,,,,,,,
Pendlay Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Straight Bar Bench Mid Rows,Strength,Middle Back,Beginner,,,,,,,,,,,
Barbell seal row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Yates Row,Strength,Middle Back,Beginner,,,,,,,,,,,
Plate Row,Strength,Middle Back,Beginner,,,,,,,,,,,
